"거주자우선주차구획번호",거주자우선주차구획위도,거주자우선주차구획경도,거주자우선주차구역명,소재지도로명주소,소재지지번주소,운영형태,사용시간대정보,사용기간,이용요금,이용요금할인정보,이용요금결제방법,이용요금환불안내정보,정기접수시작일자,정기접수종료일자,신청방법,신청서류,관리기관전화번호,관리기관명,데이터기준일자
11215-광장_082,37.54946669,127.1024372,지정구간,,서울특별시 광진구 광장동 376-20,,,1월~12월,주간:3만원+야간:2만원+전일4만원,,,,2022-01-01,2022-12-31,,,,서울특별시 광진구청,2022-07-19
11215-광장_083,37.54946669,127.1024372,지정구간,,서울특별시 광진구 광장동 376-20,,,1월~12월,주간:3만원+야간:2만원+전일4만원,,,,2022-01-01,2022-12-31,,,,서울특별시 광진구청,2022-07-19
11215-광장_084,37.54946669,127.1024372,지정구간,,서울특별시 광진구 광장동 376-20,,,1월~12월,주간:3만원+야간:2만원+전일4만원,,,,2022-01-01,2022-12-31,,,,서울특별시 광진구청,2022-07-19
11215-광장_085,37.54946669,127.1024372,지정구간,,서울특별시 광진구 광장동 376-20,,,1월~12월,주간:3만원+야간:2만원+전일4만원,,,,2022-01-01,2022-12-31,,,,서울특별시 광진구청,2022-07-19
11215-광장_086,37.54946669,127.1024372,지정구간,,서울특별시 광진구 광장동 376-20,,,1월~12월,주간:3만원+야간:2만원+전일4만원,,,,2022-01-01,2022-12-31,,,,서울특별시 광진구청,2022-07-19
11215-광장_087,37.54946669,127.1024372,지정구간,,서울특별시 광진구 광장동 376-20,,,1월~12월,주간:3만원+야간:2만원+전일4만원,,,,2022-01-01,2022-12-31,,,,서울특별시 광진구청,2022-07-19
11215-광장_090,37.54946669,127.1024372,지정구간,,서울특별시 광진구 광장동 376-20,,,1월~12월,주간:3만원+야간:2만원+전일4만원,,,,2022-01-01,2022-12-31,,,,서울특별시 광진구청,2022-07-19
11215-광장_091,37.54946669,127.1024372,지정구간,,서울특별시 광진구 광장동 376-20,,,1월~12월,주간:3만원+야간:2만원+전일4만원,,,,2022-01-01,2022-12-31,,,,서울특별시 광진구청,2022-07-19
11215-광장_092,37.54946669,127.1024372,지정구간,,서울특별시 광진구 광장동 376-20,,,1월~12월,주간:3만원+야간:2만원+전일4만원,,,,2022-01-01,2022-12-31,,,,서울특별시 광진구청,2022-07-19
11215-광장_093,37.54946669,127.1024372,지정구간,,서울특별시 광진구 광장동 376-20,,,1월~12월,주간:3만원+야간:2만원+전일4만원,,,,2022-01-01,2022-12-31,,,,서울특별시 광진구청,2022-07-19
11215-광장_094,37.54946669,127.1024372,지정구간,,서울특별시 광진구 광장동 376-20,,,1월~12월,주간:3만원+야간:2만원+전일4만원,,,,2022-01-01,2022-12-31,,,,서울특별시 광진구청,2022-07-19
11215-광장_099,37.54811672,127.1030693,지정구간,,서울특별시 광진구 광장동 266,,,1월~12월,주간:3만원+야간:2만원+전일4만원,,,,2022-01-01,2022-12-31,,,,서울특별시 광진구청,2022-07-19
11215-광장_100,37.54811672,127.1030693,지정구간,,서울특별시 광진구 광장동 266,,,1월~12월,주간:3만원+야간:2만원+전일4만원,,,,2022-01-01,2022-12-31,,,,서울특별시 광진구청,2022-07-19
11215-광장_101,37.54811672,127.1030693,지정구간,,서울특별시 광진구 광장동 266,,,1월~12월,주간:3만원+야간:2만원+전일4만원,,,,2022-01-01,2022-12-31,,,,서울특별시 광진구청,2022-07-19
11215-광장_102,37.54811672,127.1030693,지정구간,,서울특별시 광진구 광장동 266,,,1월~12월,주간:3만원+야간:2만원+전일4만원,,,,2022-01-01,2022-12-31,,,,서울특별시 광진구청,2022-07-19
11215-광장_103,37.54811672,127.1030693,지정구간,,서울특별시 광진구 광장동 266,,,1월~12월,주간:3만원+야간:2만원+전일4만원,,,,2022-01-01,2022-12-31,,,,서울특별시 광진구청,2022-07-19
11215-광장_104,37.54811672,127.1030693,지정구간,,서울특별시 광진구 광장동 266,,,1월~12월,주간:3만원+야간:2만원+전일4만원,,,,2022-01-01,2022-12-31,,,,서울특별시 광진구청,2022-07-19
11215-광장_105,37.54811672,127.1030693,지정구간,,서울특별시 광진구 광장동 266,,,1월~12월,주간:3만원+야간:2만원+전일4만원,,,,2022-01-01,2022-12-31,,,,서울특별시 광진구청,2022-07-19
11215-광장_106,37.54811672,127.1030693,지정구간,,서울특별시 광진구 광장동 266,,,1월~12월,주간:3만원+야간:2만원+전일4만원,,,,2022-01-01,2022-12-31,,,,서울특별시 광진구청,2022-07-19
11215-광장_107,37.54811672,127.1030693,지정구간,,서울특별시 광진구 광장동 266,,,1월~12월,주간:3만원+야간:2만원+전일4만원,,,,2022-01-01,2022-12-31,,,,서울특별시 광진구청,2022-07-19
11215-광장_108,37.54811672,127.1030693,지정구간,,서울특별시 광진구 광장동 266,,,1월~12월,주간:3만원+야간:2만원+전일4만원,,,,2022-01-01,2022-12-31,,,,서울특별시 광진구청,2022-07-19
11215-광장_109,37.54811672,127.1030693,지정구간,,서울특별시 광진구 광장동 266,,,1월~12월,주간:3만원+야간:2만원+전일4만원,,,,2022-01-01,2022-12-31,,,,서울특별시 광진구청,2022-07-19
11215-광장_109-3,37.54811672,127.1030693,지정구간,,서울특별시 광진구 광장동 266,,,1월~12월,주간:3만원+야간:2만원+전일4만원,,,,2022-01-01,2022-12-31,,,,서울특별시 광진구청,2022-07-19
11215-광장_122,37.54747769,127.1026994,지정구간,,서울특별시 광진구 광장동 258-33,,,1월~12월,주간:3만원+야간:2만원+전일4만원,,,,2022-01-01,2022-12-31,,,,서울특별시 광진구청,2022-07-19
11215-광장_125,37.54688276,127.1030098,지정구간,,서울특별시 광진구 광장동 258-44,,,1월~12월,주간:3만원+야간:2만원+전일4만원,,,,2022-01-01,2022-12-31,,,,서울특별시 광진구청,2022-07-19
11215-광장_126,37.54688276,127.1030098,지정구간,,서울특별시 광진구 광장동 258-44,,,1월~12월,주간:3만원+야간:2만원+전일4만원,,,,2022-01-01,2022-12-31,,,,서울특별시 광진구청,2022-07-19
11215-광장_127,37.54688276,127.1030098,지정구간,,서울특별시 광진구 광장동 258-44,,,1월~12월,주간:3만원+야간:2만원+전일4만원,,,,2022-01-01,2022-12-31,,,,서울특별시 광진구청,2022-07-19
11215-광장_128,37.54688276,127.1030098,지정구간,,서울특별시 광진구 광장동 258-44,,,1월~12월,주간:3만원+야간:2만원+전일4만원,,,,2022-01-01,2022-12-31,,,,서울특별시 광진구청,2022-07-19
11215-광장_129,37.54688276,127.1030098,지정구간,,서울특별시 광진구 광장동 258-44,,,1월~12월,주간:3만원+야간:2만원+전일4만원,,,,2022-01-01,2022-12-31,,,,서울특별시 광진구청,2022-07-19
11215-광장_130,37.54688276,127.1030098,지정구간,,서울특별시 광진구 광장동 258-44,,,1월~12월,주간:3만원+야간:2만원+전일4만원,,,,2022-01-01,2022-12-31,,,,서울특별시 광진구청,2022-07-19
11215-광장_131,37.54688276,127.1030098,지정구간,,서울특별시 광진구 광장동 258-44,,,1월~12월,주간:3만원+야간:2만원+전일4만원,,,,2022-01-01,2022-12-31,,,,서울특별시 광진구청,2022-07-19
11215-광장_137,37.54718288,127.1038387,지정구간,,서울특별시 광진구 광장동 257-2,,,1월~12월,주간:3만원+야간:2만원+전일4만원,,,,2022-01-01,2022-12-31,,,,서울특별시 광진구청,2022-07-19
11215-광장_138,37.54783651,127.1036911,지정구간,,서울특별시 광진구 광장동 262,,,1월~12월,주간:3만원+야간:2만원+전일4만원,,,,2022-01-01,2022-12-31,,,,서울특별시 광진구청,2022-07-19
11215-광장_139,37.54783651,127.1036911,지정구간,,서울특별시 광진구 광장동 262,,,1월~12월,주간:3만원+야간:2만원+전일4만원,,,,2022-01-01,2022-12-31,,,,서울특별시 광진구청,2022-07-19
11215-광장_140,37.54744017,127.1039774,지정구간,,서울특별시 광진구 광장동 259-1,,,1월~12월,주간:3만원+야간:2만원+전일4만원,,,,2022-01-01,2022-12-31,,,,서울특별시 광진구청,2022-07-19
11215-광장_141,37.54811173,127.104239,지정구간,,서울특별시 광진구 광장동 264-1,,,1월~12월,주간:3만원+야간:2만원+전일4만원,,,,2022-01-01,2022-12-31,,,,서울특별시 광진구청,2022-07-19
11215-광장_148,37.54734574,127.1046034,지정구간,,서울특별시 광진구 광장동 287-5,,,1월~12월,주간:3만원+야간:2만원+전일4만원,,,,2022-01-01,2022-12-31,,,,서울특별시 광진구청,2022-07-19
11215-광장_150,37.54811173,127.104239,지정구간,,서울특별시 광진구 광장동 264-1,,,1월~12월,주간:3만원+야간:2만원+전일4만원,,,,2022-01-01,2022-12-31,,,,서울특별시 광진구청,2022-07-19
11215-광장_151,37.54811173,127.104239,지정구간,,서울특별시 광진구 광장동 264-1,,,1월~12월,주간:3만원+야간:2만원+전일4만원,,,,2022-01-01,2022-12-31,,,,서울특별시 광진구청,2022-07-19
11215-광장_192,37.54711155,127.1036041,지정구간,,서울특별시 광진구 광장동 257-3,,,1월~12월,주간:3만원+야간:2만원+전일4만원,,,,2022-01-01,2022-12-31,,,,서울특별시 광진구청,2022-07-19
11215-광장_227,37.54618794,127.1033911,지정구간,,서울특별시 광진구 광장동 245-8,,,1월~12월,주간:3만원+야간:2만원+전일4만원,,,,2022-01-01,2022-12-31,,,,서울특별시 광진구청,2022-07-19
11215-광장_229,37.54618794,127.1033911,지정구간,,서울특별시 광진구 광장동 245-8,,,1월~12월,주간:3만원+야간:2만원+전일4만원,,,,2022-01-01,2022-12-31,,,,서울특별시 광진구청,2022-07-19
11215-광장_230,37.54618794,127.1033911,지정구간,,서울특별시 광진구 광장동 245-8,,,1월~12월,주간:3만원+야간:2만원+전일4만원,,,,2022-01-01,2022-12-31,,,,서울특별시 광진구청,2022-07-19
11215-광장_231,37.54671101,127.1037539,지정구간,,서울특별시 광진구 광장동 256-4,,,1월~12월,주간:3만원+야간:2만원+전일4만원,,,,2022-01-01,2022-12-31,,,,서울특별시 광진구청,2022-07-19
11215-광장_232,37.54671101,127.1037539,지정구간,,서울특별시 광진구 광장동 256-4,,,1월~12월,주간:3만원+야간:2만원+전일4만원,,,,2022-01-01,2022-12-31,,,,서울특별시 광진구청,2022-07-19
11215-광장_233,37.54671101,127.1037539,지정구간,,서울특별시 광진구 광장동 256-4,,,1월~12월,주간:3만원+야간:2만원+전일4만원,,,,2022-01-01,2022-12-31,,,,서울특별시 광진구청,2022-07-19
